Sample	Timepoint	Condition	read1	read2
HD1328-4	0h	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-0h_1.fq.gz	
HD1328-4	YES0	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-YES0_1.fq.gz	
HD1328-4	YES1	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-YES1_1.fq.gz	
HD1328-4	YES2	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-YES2_1.fq.gz	
HD1328-4	YES3	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-YES3_1.fq.gz	
HD1328-4	YES4	YES	/hugedata/YushengYang/HighDepth_data/20210906_ningshaokai_1328-4_360G/fq1/HD1328-4-0-YES4_1.fq.gz	
HD1328-7	0h	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-0h_1.fq.gz	
HD1328-7	YES0	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-YES0_1.fq.gz	
HD1328-7	YES1	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-YES1_1.fq.gz	
HD1328-7	YES2	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-YES2_1.fq.gz	
HD1328-7	YES3	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-YES3_1.fq.gz	
HD1328-7	YES4	YES	/hugedata/YushengYang/HighDepth_data/20220511_ningshaokai_1328_7_1TB/fq1/HD1328-7-1-YES4_1.fq.gz	
HD1328-8	0h	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-0h_1.fq.gz	
HD1328-8	YES0	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-YES0_1.fq.gz	
HD1328-8	YES1	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-YES1_1.fq.gz	
HD1328-8	YES2	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-YES2_1.fq.gz	
HD1328-8	YES3	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-YES3_1.fq.gz	
HD1328-8	YES4	YES	/hugedata/YushengYang/HighDepth_data/20211203_ningshaokai_1000G/fq1/HD1328-8-1-YES4_1.fq.gz	
